,RANK_2025,RANK_2024,Institution_Name,Location,Region,SIZE,FOCUS,RES.,STATUS,Academic_Reputation_Score,Academic_Reputation_Rank,Employer_Reputation_Score,Employer_Reputation_Rank,Faculty_Student_Score,Faculty_Student_Rank,Citations_per_Faculty_Score,Citations_per_Faculty_Rank,International_Faculty_Score,International_Faculty_Rank,International_Students_Score,International_Students_Rank,International_Research_Network_Score,International_Research_Network_Rank,Employment_Outcomes_Score,Employment_Outcomes_Rank,Sustainability_Score,Sustainability_Rank,Overall_Score
100,101.0,180.0,King Fahd University of Petroleum & Minerals,Saudi Arabia,Asia,M,FO,VH,A,38.0,226,46.5,198,86.0,101,78.0,121,100.0,26.0,47.6,307.0,73.9,422.0,97.8,28,20.1,530.0,59.5
101,102.0,119.0,"KIT, Karlsruhe Institute of Technology",Germany,Europe,L,CO,VH,A,44.9,188,80.9,74,39.4,395,68.4,160,70.5,282.0,42.9,337.0,86.4,225.0,50.8,252,75.3,184.0,59.4
102,103.0,105.0,Uppsala University,Sweden,Europe,L,FC,VH,A,61.4,115,33.7,277,52.0,292,42.3,326,99.4,99.0,81.1,170.0,96.7,49.0,68.4,171,99.2,11.0,59.3
103,104.0,95.0,University of St Andrews,United Kingdom,Europe,M,FO,VH,A,46.5,174,63.2,126,64.7,206,49.2,272,98.4,113.0,100.0,29.0,83.8,266.0,18.5,594,91.1,86.0,59.2
104,105.0,104.0,The University of Sheffield,United Kingdom,Europe,L,FC,VH,A,58.3,132,48.7,187,52.5,290,43.9,313,83.3,228.0,96.8,80.0,95.8,62.0,33.8,374,97.7,24.0,59.1
105,105.0,107.0,Utrecht University,Netherlands,Europe,XL,FC,VH,A,66.5,103,38.8,244,31.0,508,79.5,112,55.7,337.0,19.4,559.0,97.3,37.0,54.7,228,61.9,258.0,59.1
106,107.0,113.0,Tohoku University,Japan,Asia,L,FC,VH,A,73.8,84,82.8,67,97.8,47,23.9,510,14.1,682.0,11.4,689.0,68.3,510.0,22.6,507,78.6,164.0,58.8
107,108.0,100.0,University of Nottingham,United Kingdom,Europe,XL,FC,VH,A,61.1,117,65.8,116,32.8,481,37.6,368,89.4,194.0,70.5,208.0,98.0,25.0,38.0,339,97.0,33.0,58.5
108,109.0,121.0,Technical University of Denmark,Denmark,Europe,M,FO,VH,A,33.2,265,22.1,421,99.1,34,84.4,98,100.0,55.0,87.7,135.0,88.1,194.0,43.6,293,47.9,328.0,58.3
109,109.0,91.0,University of Zurich,Switzerland,Europe,L,FO,VH,A,59.9,124,26.4,361,92.2,78,40.1,352,100.0,71.0,42.8,338.0,94.3,90.0,88.6,84,58.7,273.0,58.3
110,111.0,123.0,Politecnico di Milano,Italy,Europe,XL,FO,VH,A,70.8,90,77.0,82,5.8,701,40.2,351,67.4,292.0,56.8,262.0,88.1,197.0,52.9,239,72.6,202.0,58.2
111,108.0,93.0,Boston University,United States,Americas,L,FC,VH,B,61.9,111,69.1,104,38.3,413,41.3,336,34.3,468.0,88.9,130.0,86.9,216.0,77.2,132,65.9,236.0,58.6
112,113.0,109.0,Aalto University,Finland,Europe,L,FO,VH,A,45.7,180,40.6,231,33.2,476,73.6,141,95.2,146.0,40.1,354.0,78.2,355.0,95.1,52,94.7,59.0,57.9
113,114.0,97.0,Georgia Institute of Technology,United States,Americas,XL,CO,VH,A,67.1,102,82.6,68,20.3,665,52.8,243,21.3,584.0,66.4,224.0,75.5,397.0,43.1,298,39.5,371.0,57.3
114,115.0,112.0,University of Waterloo,Canada,Americas,XL,CO,VH,A,40.4,211,64.2,124,6.5,701,78.9,118,75.8,257.0,71.3,206.0,84.6,256.0,58.9,209,93.3,68.0,57.2
115,116.0,102.0,University of Wisconsin-Madison,United States,Americas,XL,FC,VH,A,77.7,74,47.8,193,74.3,170,23.7,513,35.3,454.0,23.6,498.0,91.6,149.0,81.6,116,59.6,269.0,57.1
116,117.0,115.0,University of Helsinki,Finland,Europe,L,CO,VH,A,62.3,110,29.1,324,59.4,246,49.6,267,73.4,272.0,5.7,701.0,96.9,43.0,90.5,74,94.5,60.0,56.8
117,118.0,149.0,Indian Institute of Technology Bombay (IITB),India,Asia,L,FO,VH,A,58.5,131,86.0,63,14.4,701,79.1,116,4.3,701.0,1.3,701.0,52.3,701.0,64.5,182,52.5,302.0,56.3
118,119.0,117.0,University of Oslo,Norway,Europe,L,FC,VH,A,55.6,139,16.0,534,73.8,175,55.7,225,91.6,180.0,31.7,416.0,97.3,35.0,80.9,121,72.1,208.0,56.1
119,120.0,145.0,Queen Mary University of London,United Kingdom,Europe,L,FC,VH,A,48.3,170,36.9,254,30.4,515,62.8,184,99.5,96.0,99.2,54.0,92.5,127.0,21.4,534,95.6,54.0,55.8
120,120.0,114.0,Western University,Canada,Americas,XL,FC,VH,A,32.6,270,38.9,243,3.3,701,93.4,60,99.8,94.0,49.5,299.0,81.5,296.0,96.7,38,99.3,10.0,55.8
121,122.0,173.0,Qatar University,Qatar,Asia,M,FC,VH,A,29.8,297,50.6,175,68.1,191,48.2,277,100.0,24.0,96.5,83.0,89.4,177.0,98.6,20,74.0,196.0,55.7
122,123.0,140.0,RMIT University,Australia,Oceania,XL,CO,VH,A,40.4,210,48.0,192,5.2,701,77.7,122,100.0,45.0,91.4,116.0,83.2,276.0,38.4,334,93.9,62.0,55.5
